# CSV-Datei erstellt auf csv-zusammenfuehren.de
# -----------------------------------------------------------

username,text_tweet
WhoIsHLM,Congratulations to #NCAT alum Anzio Williams who received the HBCU HOF Distinguished Alumnus of the Year Award toda… https://t.co/93afXutvYi
WhoIsHLM,Speaks volumes about Brandon Parker!  Very proud of you.  Congratulations! https://t.co/G01C2Xqtps
WhoIsHLM,Pleased to welcome int’l astrophysicist @HakeemOluseyi to #Aggieland for @gradncat debut Title III Graduate Symposi… https://t.co/XQi3ZTY9Ns
WhoIsHLM,Interesting idea. Pioneering software company founder says teach 2-yr-olds basic coding. https://t.co/4ET43KMJXu -- especially girls. #STEM
WhoIsHLM,Congratulations to the Women's Golf Team and Coach Watkins!  We look forward to celebrating many more victories wit… https://t.co/p5Jwunn3bo
WhoIsHLM,Congratulations Mac!  An incredible honor!  Continued best wishes for a phenomenal season. https://t.co/VXmcTWeHn7
WhoIsHLM,Thanks very much @JBryantHowroyd!  Excellent advice for #NCAT students!  @ncatsuaggies https://t.co/ztAA08JLjm
WhoIsHLM,Thanks very much @JBryantHoward!  Excellent advice for #NCAT students!  @ncatsuaggies https://t.co/ztAA08sarO
WhoIsHLM,Congratulations Marquell!  Outstanding honor! https://t.co/1fC4eiYthU
WhoIsHLM,Great opportunity for #NCAT students. https://t.co/mFkdhhEY2k
WhoIsHLM,Students see #highered apps as counter to graduation barriers. https://t.co/iero6qkZeT We’re listening. #StudentSuccess is our No.1 goal.
WhoIsHLM,Thanks very much @RepAdams for helping to create a national conversation about HBCUs through the HBCU BrainTrust.… https://t.co/R5nPIyUzz0
WhoIsHLM,The @NCATCOBE1 Closing Bell fall Speaker Series begins today. Welcome to #NCAT Alfonzo Alexander of @NASBACPT.
WhoIsHLM,The #NCAT Blue and Gold Machine's Cold Steel Drumline.  It doesn't get any better. https://t.co/STLVefJG1m
WhoIsHLM,@biosolar continues #research partnership with #NCAT @JSNN2907 impacting capacity and cost of #LIB #AggiesInnovate https://t.co/iPOaT5PRfF
WhoIsHLM,We look forward to @ValerieJarrett joining us for the Chancellor's Speaker Series on November 16th. #NCAT https://t.co/G124LkfMQk
WhoIsHLM,Kudos to @GM for valuing &amp  supporting #STEM education principles for young girls of all cultures &amp  colors. https://t.co/f7Hh6Ve2hr
WhoIsHLM,Congratulations!  Great game. https://t.co/T5GXvqb6u0
WhoIsHLM,Well deserved honor.  Congratulations! https://t.co/quC7l5OxxV
WhoIsHLM,Have a bachelor’s degree? You could qualify for @ncatcollegeofed #teacherresidency program and $20k fellowships. https://t.co/pJNRMD4l5W
WhoIsHLM,Thank you COAACH for the important work you are doing to make a difference in our community.  #NCAT @greensborocity https://t.co/QwpdlqL4nz
WhoIsHLM,Excellent participation in the #HBCUPRELAWSUMMIT on the #NCAT campus.  #BENNETT @greensborocity https://t.co/Q8qckNAGp3
WhoIsHLM,#NCAT and #BENNETT are pleased to host the national #HBCUPRELAWSUMMIT on our campuses.  @greensborocity https://t.co/r9i5QkeFSz
WhoIsHLM,Congrats #NCAT community members Vicki Foust and Jacques Pierre appointed to @greensborocity Community Sustainability Council.
