,text_tweet,username,syllables,periods,hyphens,commas,semicolons,exclamations,questions,quotes,dollars,percentages,ands,asterisks,pluses,equals,slashes,hashes,replies,retweets,links,smiles,bigsmiles,winks,bigwinks,unsures
0,Have u submitted ur ideas yet? Best entries win a $50,_AllisonMathews,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Have you submitted your ideas yet??? It’s a “virtual event.” This is a contest!! The best… https://t.co/I677Sg0sEv,_AllisonMathews,26,2,0,0,0,2,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
2,@JosephTucker https://t.co/H65eCYgS9o,_AllisonMathews,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
3,Happy birthday to this phenomenal woman!! My mommy is the best!!! ❤️❤️❤️❤️ https://t.co/a3hfUAhMAG,_AllisonMathews,22,1,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
4,@iaarunc @kojoshow Thanks for sharing!!,_AllisonMathews,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5,@defeatHIV @viruseradicate @2BeatHIV @HIVCureWorkGrp @Durham_Knows @AIDSDurham @End_Disparities @HIVcureAU… https://t.co/OMRkDhh7iv,_AllisonMathews,33,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,1,0,0,0,0,0
6,Public health has known this for a while... https://t.co/jMHsgy0WQo,_AllisonMathews,13,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
7,@Durham_Knows Thanks!!!,_AllisonMathews,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,@IMEUNC thanks for the support ❤️❤️❤️,_AllisonMathews,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,@katellington @JosephTucker @IMEUNC @uncglobalhealth @unc_bioethics @2BeatHIV Thanks for the RT!,_AllisonMathews,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
10,Don't miss our latest review on #crowdsourcing #innovation contests in #BMJinnovations https://t.co/QsebP0XZeL,_AllisonMathews,25,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0
11,Currently attending the Bridging the Career Gap: Promoting Diversity in Biomedical Research meeting @NIAIDCareers #excellent #honored,_AllisonMathews,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
12,That moment when you hear the real Rick Ross tell his story #durm,_AllisonMathews,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Our article is officially published in #JVE! https://t.co/Axi0ngkp4s https://t.co/A0Oo4v1jtl,_AllisonMathews,20,2,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,0
14,I just joined #TheCircle,_AllisonMathews,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
